"","animal.id","animal.reproductive.condition","animal.sex","Hunt","N.pray","Hrs.indors","N.neigbours","StartDate","StartHours","EndDate","EndHours","animal.age"
"255","Sputnik",0,0,1,"1","16","1","2015-10-01","00:33:26.000","2015-10-09","01:29:53.000","6"
"256","Kenny",0,0,-1,"0","3","1","2015-10-01","11:44:55.000","2015-10-07","10:19:42.000","4"
"257","Dharma",0,0,0,"1","9","2","2015-10-08","00:32:05.000","2015-10-15","21:30:29.000","17"
"258","Charlie4",0,0,0,"0","13","1","2015-10-08","00:32:34.000","2015-10-15","22:27:23.000","6"
"259","Imelda",0,1,1,"6","16","1","2015-10-08","00:35:27.000","2015-10-15","14:05:45.000","-1"
"260","Tiggy",0,0,1,"2","14","1","2015-10-08","01:03:12.000","2015-10-13","12:20:54.000","2"
"261","Sammy",0,0,1,"6","15","1","2015-10-08","01:32:27.000","2015-10-14","09:22:24.000","7"
"262","Fudge",0,0,1,"5","11","1","2015-10-08","01:32:34.000","2015-10-15","14:59:28.000","4"
"263","Georgie",0,0,1,"5","10","1","2015-10-08","01:32:35.000","2015-10-17","06:46:02.000","9"
"264","Martha2",0,1,1,"5","12","1","2015-10-08","01:47:34.000","2015-10-14","01:01:12.000","3"
"265","Raffy",0,0,1,"6","8","1","2015-10-08","14:00:18.000","2015-10-18","16:18:21.000","14"
"266","Boots2",0,0,1,"1","15","3","2015-10-08","14:02:49.000","2015-10-19","13:59:01.000","14"
"267","Yoriko",0,1,1,"1","20","4","2015-10-08","15:00:30.000","2015-10-18","18:55:30.000","13"
"268","Ziva",0,1,1,"9","8","1","2015-10-09","00:30:35.000","2015-10-14","18:09:48.000","-1"
"269","Millie3",0,1,1,"1","18","1","2015-10-09","00:32:04.000","2015-10-16","19:43:34.000","7"
"270","Bentley",0,0,1,"2","5","2","2015-10-09","01:31:05.000","2015-10-18","13:09:11.000","12"
"271","Diamonds",0,1,-1,"0","2","1","2015-10-09","01:32:00.000","2015-10-19","14:57:39.000","2"
"272","Monty2",0,0,1,"15","3","1","2015-10-09","01:32:04.000","2015-10-16","15:32:10.000","7"
"273","Rudi",0,0,0,"0","5","1","2015-10-09","01:35:11.000","2015-10-16","22:08:10.000","2"
"274","Bella6",0,1,1,"11","2","1","2015-10-11","15:01:02.000","2015-10-16","07:44:23.000","8"
"275","Squeaky",1,0,-1,"0","24","3","2015-10-14","15:00:30.000","2015-10-22","14:56:58.000","0"
"276","Stalky",0,1,-1,"0","10","1","2015-10-14","15:02:10.000","2015-10-22","21:39:58.000","10"
"277","Unfriendly",0,1,-1,"1","10","2","2015-10-14","15:02:40.000","2015-10-22","14:59:00.000","10"
"278","Bluey",0,0,-1,"0","11","1","2015-10-15","01:32:21.000","2015-10-22","14:57:47.000","9"
"279","Shan",0,0,1,"1","12","2","2015-10-15","01:32:30.000","2015-10-22","14:55:44.000","3"
"280","Stitch",0,0,1,"11","10","1","2015-10-15","04:12:37.000","2015-10-21","08:05:16.000","6"
"281","Puds",0,1,0,"0","22","1","2015-10-15","15:00:16.000","2015-10-20","20:32:39.000","11"
"282","Tommy",0,0,0,"1","23","2","2015-10-16","01:32:03.000","2015-10-23","14:57:06.000","2"
"283","Max3",0,0,1,"2","8","1","2015-10-16","01:32:21.000","2015-10-23","14:59:13.000","2"
"284","Moscow",0,0,1,"0","8","3","2015-10-16","01:32:52.000","2015-10-23","14:57:45.000","4"
"285","MrThomas",0,0,0,"0","1","1","2015-10-16","01:32:58.000","2015-10-24","09:09:03.000","10"
"286","MissyMitz",0,1,1,"2","12","3","2015-10-16","01:34:55.000","2015-10-22","14:02:02.000","8"
"287","JessieBeau",0,0,1,"19","18","4","2015-10-16","01:36:08.000","2015-10-22","18:02:11.000","2"
"288","Skoozie",0,1,1,"0","24","1","2015-10-17","03:09:27.000","2015-10-23","08:53:32.000","6"
"289","Frankie",0,-1,1,"9","14","1","2015-11-11","01:48:33.000","2015-11-18","21:24:23.000","0"
"290","Annie",0,1,1,"1","17","1","2015-11-13","01:32:54.000","2015-11-21","14:57:05.000","2"
"291","Zac",0,0,1,"1","18","2","2015-11-13","01:32:57.000","2015-11-21","14:59:43.000","2"
"292","Polly",0,1,0,"0","18","1","2015-11-13","08:27:48.000","2015-11-18","20:20:49.000","4"
"293","Onyx",0,1,1,"21","14","1","2015-11-13","15:02:23.000","2015-11-17","08:11:31.000","-1"
"294","Chase",0,1,1,"21","15","2","2015-11-13","15:07:22.000","2015-11-19","18:14:06.000","-1"
"295","Astro",0,0,1,"8","10","1","2015-11-20","01:32:05.000","2015-11-27","14:59:55.000","2"
"296","Loki",0,0,1,"1","5","1","2015-11-20","01:32:12.000","2015-11-28","06:50:11.000","8"
"297","Isobel",0,1,1,"1","15","1","2015-11-20","01:32:52.000","2015-12-01","20:12:11.000","8"
"298","Squiggle",0,0,1,"0","9","2","2015-11-23","15:01:16.000","2015-11-28","01:18:20.000","2"
"299","Oli",0,0,1,"0","9","4","2015-11-23","15:01:52.000","2015-11-28","05:01:26.000","-1"
"300","Spot",0,0,1,"0","9","3","2015-11-23","15:02:09.000","2015-11-27","04:38:03.000","3"
"301","Jasper3",0,0,-1,"0","9","1","2015-11-23","15:11:55.000","2015-11-27","21:28:28.000","-1"
"302","Jedda",0,1,1,"7","10","1","2015-11-28","02:19:41.000","2015-12-05","12:12:45.000","4"
"303","Shmiff",0,1,1,"1","20","1","2015-12-09","01:32:04.000","2015-12-16","14:58:33.000","6"
"304","Nelson3",0,0,1,"0","2","1","2015-12-09","15:00:46.000","2015-12-15","17:41:11.000","7"
"305","Claude",0,0,1,"2","0","1","2015-12-11","01:30:35.000","2015-12-20","14:59:14.000","8"
"306","Maggie",0,1,1,"1","20","2","2015-12-11","01:31:58.000","2015-12-18","19:27:28.000","7"
"307","Harry3",0,0,1,"1","13","1","2015-12-11","01:34:44.000","2015-12-18","05:32:12.000","4"
"308","Daisy2",0,1,1,"5","8","1","2015-12-11","01:35:33.000","2015-12-15","14:51:50.000","6"
"309","Bo",0,0,1,"2","14","2","2015-12-11","02:18:20.000","2015-12-18","16:20:38.000","4"
"310","Albert",0,0,1,"1","16","1","2015-12-11","15:02:13.000","2015-12-16","14:59:40.000","9"
"311","Caddie",0,1,1,"4","14","1","2015-12-16","01:32:07.000","2015-12-22","15:24:22.000","6"
"312","Kamir",0,1,1,"4","20","1","2015-12-16","01:32:33.000","2015-12-23","14:58:24.000","13"
"313","Fizzgig",0,1,1,"16","10","1","2015-12-16","15:00:46.000","2015-12-23","14:58:31.000","6"
"314","Paris",0,0,0,"2","15","2","2015-12-16","15:02:25.000","2015-12-23","14:51:50.000","13"
"315","Felix3",0,0,1,"4","9","1","2015-12-17","01:32:34.000","2015-12-24","13:11:00.000","2"
"316","Bel2",0,1,0,"0","23","1","2015-12-20","23:25:37.000","2015-12-23","21:29:09.000","12"
"317","Meggsie",0,0,1,"4","14","1","2015-12-21","15:02:00.000","2015-12-29","11:21:29.000","6"
"318","Rupert3",0,0,1,"1","12","1","2015-12-22","15:04:39.000","2015-12-29","03:27:48.000","10"
"319","Celine",0,-1,1,"1","1","1","2015-12-23","01:32:28.000","2015-12-30","14:59:45.000","3"
"320","Billy",0,0,0,"0","12","1","2015-12-24","01:30:57.000","2016-01-01","07:38:15.000","11"
"321","Oscar2",0,0,1,"5","3","1","2015-12-24","02:15:55.000","2016-01-01","03:59:43.000","7"
"322","Boz",0,0,0,"0","19","1","2015-12-24","02:52:56.000","2015-12-31","13:27:47.000","6"
"323","Truffles2",0,0,1,"1","2","1","2015-12-24","04:47:10.000","2015-12-30","14:57:26.000","14"
"324","Kitty5",0,1,1,"5","9","1","2015-12-24","15:02:57.000","2016-01-02","05:12:21.000","2"
"325","Jinx",0,1,1,"7","12","1","2015-12-25","01:47:43.000","2016-01-01","14:59:56.000","-1"
"326","Chanel",0,1,1,"4","14","1","2016-01-15","01:32:04.000","2016-01-21","21:18:57.000","8"
"327","LouisTheBruiser",0,0,1,"2","12","1","2016-01-15","02:34:12.000","2016-01-22","14:57:42.000","12"
"328","Paula",0,1,-1,"0","1","1","2016-01-15","15:02:47.000","2016-01-19","18:43:22.000","4"
"329","MrGray",0,0,1,"5","11","1","2016-01-15","15:17:03.000","2016-01-22","05:40:10.000","-1"
"330","Malachie",0,0,1,"5","2","2","2016-01-18","11:11:03.000","2016-01-23","13:36:28.000","3"
"331","Gina",0,1,1,"2","6","3","2016-01-18","15:02:15.000","2016-01-22","14:32:52.000","3"
"332","Banjo2",0,1,1,"9","10","1","2016-01-21","01:31:34.000","2016-01-27","15:04:10.000","9"
"333","Junipurr",0,1,1,"13","19","1","2016-01-21","02:01:40.000","2016-01-27","11:23:01.000","8"
"334","Clancy",0,1,1,"2","23","2","2016-01-21","08:08:50.000","2016-01-28","14:59:53.000","9"
"335","Tiger5",0,0,1,"10","1","1","2016-01-22","01:32:50.000","2016-01-29","19:58:52.000","10"
"336","Tarzan",0,0,1,"11","0","1","2016-01-25","15:01:15.000","2016-01-29","09:29:56.000","2"
"337","Jinx2",0,1,1,"10","10","1","2016-01-28","01:32:27.000","2016-02-04","01:14:37.000","6"
"338","Bruno",-1,-1,-1,"0","0","0","2016-01-28","02:15:14.000","2016-02-05","10:48:33.000","0"
"339","Collin",0,-1,1,"6","12","1","2016-01-28","15:02:10.000","2016-02-04","23:35:09.000","5"
"340","Twinkle",0,0,1,"2","8","1","2016-01-29","15:02:50.000","2016-02-04","14:59:51.000","14"
"341","Whisky",0,1,1,"4","8","1","2016-01-30","01:32:26.000","2016-02-07","15:01:16.000","4"
"342","Coco",0,1,1,"3","7","2","2016-01-30","01:34:27.000","2016-02-07","18:03:40.000","2"
"343","CaptainSoldier",0,0,-1,"0","12","1","2016-02-04","01:32:04.000","2016-02-11","14:28:04.000","3"
"344","Ronaldo",0,0,1,"3","16","2","2016-02-04","01:32:04.000","2016-02-11","10:56:46.000","58"
"345","Bambi",0,1,1,"5","12","1","2016-02-04","05:28:19.000","2016-02-11","20:53:31.000","3"
"346","Hestor",0,0,1,"5","8","2","2016-02-04","15:02:05.000","2016-02-11","14:59:50.000","11"
"347","Banjo",0,0,1,"5","12","1","2016-02-04","15:05:46.000","2016-02-09","01:20:33.000","-1"
"348","Garry",0,0,1,"3","18","1","2016-02-05","01:34:13.000","2016-02-10","22:24:03.000","6"
"349","Ally",0,1,-1,"0","7","1","2016-02-05","14:55:30.000","2016-02-11","03:06:01.000","6"
"350","Oscar3",0,0,1,"16","7","1","2016-02-05","15:02:15.000","2016-02-14","20:51:38.000","8"
"351","Yogi",0,0,1,"2","3","1","2016-02-06","01:32:22.000","2016-02-14","22:48:31.000","-1"
"352","Puss",0,1,1,"1","6","1","2016-02-12","01:32:23.000","2016-02-24","14:59:47.000","9"
"353","Small",0,0,1,"3","14","1","2016-02-13","05:44:24.000","2016-02-18","09:01:25.000","9"
"354","Scratch",0,1,1,"1","16","1","2016-02-17","01:31:51.000","2016-02-24","14:58:11.000","14"
"355","Diesel",0,0,1,"1","16","1","2016-02-17","01:32:15.000","2016-02-24","16:54:00.000","2"
"356","Stanley",0,0,1,"3","18","1","2016-02-17","01:34:59.000","2016-02-23","10:08:10.000","7"
"357","Tom2",0,0,1,"1","3","2","2016-02-17","07:13:20.000","2016-02-24","23:18:33.000","7"
"358","Truffle",0,1,-1,"1","1","2","2016-02-18","01:31:42.000","2016-02-25","14:59:12.000","3"
"359","Missy",0,1,1,"2","1","1","2016-02-18","01:32:33.000","2016-02-19","14:00:48.000","3"
"360","Rafiki",0,1,1,"4","12","1","2016-02-18","08:22:05.000","2016-02-24","02:42:57.000","-1"
"361","Carmello",0,0,1,"0","18","1","2016-02-18","13:58:01.000","2016-02-25","16:06:56.000","9"
"362","MilkoMcCavity",0,0,1,"0","9","1","2016-02-25","01:32:17.000","2016-03-03","14:57:17.000","6"
"363","Leo4",0,0,0,"0","18","1","2016-02-25","01:33:28.000","2016-03-03","14:58:05.000","16"
"364","Leila",0,1,1,"11","4","1","2016-02-25","01:34:27.000","2016-03-01","19:05:03.000","8"
"365","Kitty6",0,1,1,"1","18","1","2016-02-25","03:41:51.000","2016-03-02","17:40:19.000","5"
"366","Samson",0,0,1,"1","18","2","2016-02-25","08:45:57.000","2016-03-01","04:46:01.000","5"
"367","Delilah2",0,1,1,"6","12","1","2016-02-25","08:48:20.000","2016-03-02","13:17:59.000","6"
"368","Sylvester",0,0,0,"0","20","1","2016-02-26","01:33:02.000","2016-03-05","09:03:27.000","7"
"369","BB",0,1,0,"1","20","2","2016-02-26","01:33:19.000","2016-03-04","15:06:00.000","-1"
"370","Sally",0,1,1,"1","2","1","2016-02-26","07:13:04.000","2016-03-04","14:59:10.000","4"
"371","Elmo",0,0,1,"2","12","1","2016-03-04","01:30:39.000","2016-03-14","19:28:38.000","12"
"372","Stealth",0,0,0,"0","20","3","2016-03-04","01:32:04.000","2016-03-11","12:45:29.000","-1"
"373","Jones",0,0,-1,"0","6","1","2016-03-04","01:32:33.000","2016-03-14","11:19:07.000","11"
"374","Mimi",0,1,0,"0","7","1","2016-03-04","01:35:57.000","2016-03-11","17:48:08.000","14"
"375","Charlie6",0,0,1,"9","8","1","2016-03-04","02:12:09.000","2016-03-13","02:52:13.000","2"
"376","Sox2",1,1,0,"0","24","4","2016-03-04","04:10:25.000","2016-03-11","23:31:43.000","4"
"377","Frank",1,0,0,"0","16","1","2016-03-04","11:55:03.000","2016-03-10","06:59:21.000","5"
"378","Dana",0,1,1,"2","12","1","2016-03-10","01:32:03.000","2016-03-17","06:39:51.000","4"
"379","Gigi",0,1,1,"1","12","1","2016-03-10","01:32:39.000","2016-03-18","15:05:05.000","13"
"380","Venom",-1,-1,1,"4","15","1","2016-03-10","01:32:56.000","2016-03-17","06:15:47.000","7"
"381","Wiggles",0,0,1,"11","8","1","2016-03-10","01:33:03.000","2016-03-23","23:37:51.000","2"
"382","Magic",0,1,1,"3","4","1","2016-03-10","05:49:31.000","2016-03-15","15:26:30.000","6"
"383","Mowdii",0,1,1,"3","19","1","2016-03-10","12:59:04.000","2016-03-17","13:31:52.000","8"
"384","Mynx",0,0,1,"4","10","2","2016-03-11","01:31:24.000","2016-03-20","14:59:43.000","2"
"385","Sooty2",0,1,1,"1","8","1","2016-03-11","01:32:26.000","2016-03-20","14:57:11.000","11"
"386","Seth",0,0,-1,"0","8","3","2016-03-11","01:33:55.000","2016-03-20","14:59:10.000","-1"
"387","Henry2",0,0,1,"0","5","1","2016-03-18","01:32:31.000","2016-03-24","04:28:59.000","8"
"388","Eesti",0,0,1,"1","10","2","2016-03-18","01:33:21.000","2016-03-28","14:58:11.000","5"
"389","Rosey",0,1,1,"1","10","1","2016-03-18","01:50:56.000","2016-03-24","12:42:32.000","6"
"390","Remy",0,0,1,"21","4","1","2016-03-24","03:10:03.000","2016-03-31","14:59:17.000","10"
"391","Luna",0,1,1,"0","9","1","2016-03-24","22:10:45.000","2016-03-29","22:35:09.000","0"
"392","Tia",0,1,1,"3","10","1","2016-03-25","02:17:55.000","2016-03-31","04:42:26.000","10"
"393","Jasper4",0,0,1,"2","6","1","2016-03-25","09:22:33.000","2016-03-30","11:19:09.000","2"
"394","Drake2",-1,-1,-1,"0","0","0","2016-04-01","01:32:06.000","2016-04-12","22:18:35.000","0"
"395","GagglesHieronymus",0,0,-1,"0","2","1","2016-04-01","01:32:44.000","2016-04-10","05:33:12.000","5"
"396","Bibi",-1,-1,-1,"0","0","0","2016-04-09","00:32:33.000","2016-04-17","14:58:23.000","0"
"397","Meesha",0,1,1,"0","9","1","2016-04-09","00:32:34.000","2016-04-16","21:31:19.000","8"
"398","Flossie",0,1,1,"3","8","1","2016-04-09","01:19:37.000","2016-04-15","20:03:32.000","5"
"399","Multi",1,1,1,"0","0","1","2016-04-09","05:00:33.000","2016-04-14","23:42:55.000","5"
"400","Furry",0,1,1,"5","12","1","2016-04-09","05:30:33.000","2016-04-15","07:59:40.000","6"
"401","SugarRae",0,1,1,"8","9","3","2016-04-10","00:17:43.000","2016-04-13","15:46:49.000","2"
"402","Trixie",0,-1,1,"5","8","1","2016-04-14","00:32:30.000","2016-04-21","20:31:57.000","9"
"403","Keytuyn",0,0,1,"5","10","1","2016-04-14","00:33:13.000","2016-04-26","14:58:33.000","-1"
"404","Kitten",-1,-1,-1,"0","0","0","2016-04-17","15:57:05.000","2016-04-23","04:53:45.000","0"
"405","Joey",0,0,1,"1","4","1","2016-04-18","10:18:39.000","2016-04-21","01:25:40.000","5"
"406","Ash2",0,0,1,"8","9","1","2016-04-22","00:32:21.000","2016-04-28","12:24:08.000","3"
"407","Rudi2",0,1,0,"0","18","1","2016-04-22","00:33:29.000","2016-04-28","22:36:55.000","10"
"408","SophiePossum",0,1,-1,"0","6","1","2016-04-22","01:30:33.000","2016-04-30","02:34:06.000","3"
"409","Roo",0,1,1,"1","14","1","2016-04-29","00:31:33.000","2016-05-08","11:36:35.000","5"
"410","Rocky",0,0,1,"2","6","1","2016-04-29","02:09:33.000","2016-05-06","15:03:45.000","4"
"411","George2",0,0,1,"7","8","1","2016-04-30","02:39:13.000","2016-05-07","22:37:10.000","3"
"412","Tilly3",0,1,1,"7","12","2","2016-04-30","02:46:27.000","2016-05-06","21:53:57.000","3"
"413","Frosty",0,0,1,"1","13","1","2016-04-30","16:01:02.000","2016-05-06","20:08:51.000","-1"
"414","Mystic",0,1,-1,"0","5","1","2016-05-05","01:32:34.000","2016-05-12","15:57:48.000","2"
"415","Stumpy2",0,1,1,"4","12","1","2016-05-06","00:33:35.000","2016-05-12","08:30:31.000","4"
"416","Biggles",0,0,0,"1","12","2","2016-05-06","03:40:39.000","2016-05-12","10:56:39.000","4"
"417","Cleo2",0,1,1,"3","8","1","2016-05-07","00:32:21.000","2016-05-14","05:34:33.000","4"
"418","Sparkles",0,1,1,"3","7","1","2016-05-07","03:33:43.000","2016-05-14","19:52:26.000","3"
"419","GracieLouFreebush",0,1,1,"6","8","1","2016-05-12","00:30:34.000","2016-05-20","13:35:21.000","2"
"420","Simba2",1,0,0,"0","15","1","2016-05-12","00:32:03.000","2016-05-18","21:40:33.000","4"
"421","Zorra",0,1,0,"0","8","1","2016-05-12","12:57:35.000","2016-05-18","13:49:57.000","11"
"422","Weasel",0,0,1,"4","10","1","2016-05-13","00:32:22.000","2016-05-23","00:02:03.000","2"
"423","BellaBoo",0,1,1,"7","1","1","2016-05-13","00:33:21.000","2016-05-24","15:42:32.000","2"
"424","Gizmo",0,0,0,"0","5","2","2016-05-13","00:42:39.000","2016-05-21","08:26:14.000","19"
"425","Rusty",0,1,0,"0","5","1","2016-05-13","01:44:10.000","2016-05-22","10:09:49.000","15"
"426","Stefano",0,0,1,"1","14","2","2016-05-20","00:37:08.000","2016-05-24","22:17:30.000","2"
"427","Zepher",0,0,1,"1","16","1","2016-05-20","00:49:50.000","2016-05-25","09:37:09.000","4"
"428","Ariel",0,0,1,"5","17","1","2016-05-26","00:32:22.000","2016-06-05","14:58:01.000","-1"
"429","Enzo",0,0,1,"2","16","1","2016-05-26","00:32:36.000","2016-05-31","08:22:02.000","2"
"430","Alrari",0,0,1,"2","10","2","2016-05-26","00:33:13.000","2016-06-01","22:58:54.000","9"
"431","MissChief",0,1,1,"1","3","1","2016-05-27","00:31:34.000","2016-06-06","09:17:28.000","16"
"432","Lexi",0,1,1,"5","15","1","2016-05-27","04:24:25.000","2016-06-02","09:52:28.000","4"
"433","Rodger",0,0,1,"3","3","1","2016-06-02","01:32:03.000","2016-06-09","15:59:47.000","5"
"434","Timo",0,0,1,"3","14","1","2016-06-02","01:48:33.000","2016-06-08","11:16:14.000","5"
"435","Jasmine2",0,1,-1,"0","16","1","2016-06-02","06:49:55.000","2016-06-07","21:55:07.000","8"
"436","Polo",0,0,-1,"0","0","2","2016-06-09","00:32:45.000","2016-06-12","10:17:23.000","7"
"437","Maeve",0,1,-1,"0","20","1","2016-06-09","00:35:33.000","2016-06-14","16:12:01.000","3"
"438","Charlotte2",0,1,1,"2","23","1","2016-06-09","01:09:03.000","2016-06-14","06:28:42.000","-1"
"439","Lister",0,0,0,"0","24","1","2016-06-09","08:42:19.000","2016-06-16","22:42:10.000","19"
"440","Garfield",0,0,1,"1","10","1","2016-06-10","08:51:36.000","2016-06-15","19:32:45.000","9"
"441","Belle",0,1,1,"1","6","1","2016-06-24","00:49:04.000","2016-06-30","01:35:10.000","4"
"442","Gyhjor",0,0,1,"1","3","1","2016-07-06","15:01:41.000","2016-07-12","13:58:12.000","8"
